n,a,xi,r_AR,N_sites,added_vs_prev,removed_vs_prev,dN_sym_vs_prev,dN_sym_vs_ref,E0,E1,E2,S,S_over_1mr,doublet_mean_shift
2.0,33.0,1.75,0.946969696969697,3241,0,24,24,168,-3.9945141582168877,-3.986405814831981,-3.9857561119003355,0.11843267766954456,2.2333019217685566,0.0006942541133203584
2.0,33.0,2.0,0.9393939393939394,3205,0,36,36,204,-3.99444947174117,-3.9863430373329396,-3.9854914853730934,0.15341818294349419,2.5314000185676564,0.0008579561264623337
2.0,33.0,2.25,0.9318181818181819,3179,0,26,26,230,-3.994403516757239,-3.986278203319177,-3.9853234264135633,0.17060301339215544,2.5021775297516156,0.0009744026131084382
2.0,33.0,2.5,0.9242424242424242,3155,0,24,24,254,-3.9943603596460826,-3.986207791932656,-3.985175531078914,0.1830366457721115,2.4160837241918705,0.001083555973693251
2.0,33.0,2.75,0.9166666666666666,3135,0,20,20,274,-3.9943198406433624,-3.9861758865293555,-3.985002744574276,0.20653328215315972,2.4783993858379154,0.0011859019276627691
2.0,33.0,3.0,0.9090909090909091,3103,0,32,32,306,-3.994256233446919,-3.986123334254181,-3.9847332961932627,0.24200810532116915,2.6620891585328597,0.0013469022557570653
2.0,33.0,3.25,0.9015151515151515,3085,0,18,18,324,-3.9942207199615507,-3.9860790825633066,-3.984597993630284,0.25627568194804984,2.6021838474725056,0.0014366793826834368
2.0,33.0,3.5,0.8939393939393939,3065,0,20,20,344,-3.9941792612413125,-3.986012924370333,-3.9844545884139912,0.2677213358898397,2.524229738389917,0.0015414610873163426
2.0,33.0,3.75,0.8863636363636364,3037,0,28,28,372,-3.994117180780524,-3.985928985769707,-3.9842248462887144,0.28968074955471484,2.5491905960814902,0.0016983014502676141
2.0,33.0,4.0,0.8787878787878788,2993,0,44,44,416,-3.9940271385321755,-3.9858056033416855,-3.983892572178719,0.32028721464107035,2.6423695207888303,0.0019261297192763038
3.0,33.0,0.0,1.0,3821,0,0,0,0,-3.9952763962536237,-3.9880709938764776,-3.9880709938764767,1.8802983217665043e-13,0.0,0.0
3.0,33.0,0.25,0.9924242424242424,3803,0,18,18,18,-3.9952601373566927,-3.9880396842287125,-3.9880122264475446,0.0057929487063579175,0.7646692292392457,4.503853834858518e-05
3.0,33.0,0.5,0.9848484848484849,3771,0,32,32,50,-3.995229549270076,-3.9879829953897112,-3.9879004362036152,0.017306370146143637,1.142220429645481,0.00012927807981411021
3.0,33.0,0.75,0.9772727272727273,3755,0,16,16,66,-3.995208026741916,-3.987952879714913,-3.9878201542970024,0.0276974454493304,1.2186875997705386,0.0001844768705194788
3.0,33.0,1.0,0.9696969696969697,3699,0,56,56,122,-3.9951227722219977,-3.9878991175779155,-3.987463536393011,0.08930917413150356,2.94720274633962,0.0003896668910141621
3.0,33.0,1.25,0.9621212121212122,3685,0,14,14,136,-3.9951084348116876,-3.987872770363469,-3.987412440823233,0.0941067986451004,2.484419484230653,0.00042838828312641297
3.0,33.0,1.5,0.9545454545454546,3661,0,24,24,160,-3.995080196314711,-3.987823920420305,-3.987307607132659,0.10494591261631739,2.3088100775589844,0.0005052300999950354
3.0,33.0,1.75,0.946969696969697,3633,0,28,28,188,-3.9950489173608856,-3.9877602473487648,-3.9872043190813002,0.11228418266998999,2.1173588732055273,0.0005887106614443915
3.0,33.0,2.0,0.9393939393939394,3585,0,48,48,236,-3.9949605829381025,-3.9877233570341697,-3.986823837517456,0.17849673993343548,2.945196208901688,0.0007973966006642463
3.0,33.0,2.25,0.9318181818181819,3567,0,18,18,254,-3.9949409972227916,-3.9876896968819637,-3.9867497063285615,0.1858055025462768,2.725147370678729,0.0008512922712147208
3.0,33.0,2.5,0.9242424242424242,3551,0,16,16,270,-3.9949228147609555,-3.9876435132079404,-3.986695126809074,0.18679373594115317,2.4656773144232202,0.0009016738679696878
3.0,33.0,2.75,0.9166666666666666,3527,0,24,24,294,-3.994886078413295,-3.987598712732334,-3.9865487331167095,0.20531789504828937,2.4638147405794713,0.0009972709519554535
3.0,33.0,3.0,0.9090909090909091,3467,0,60,60,354,-3.994779845993185,-3.987518609947707,-3.986114213457958,0.2690335357760648,2.959368893536712,0.0012545821736442697
3.0,33.0,3.25,0.9015151515151515,3445,0,22,22,376,-3.9947546776382223,-3.987473667724364,-3.986020856253663,0.2769727712613838,2.812338908192512,0.0013237318874637083
3.0,33.0,3.5,0.8939393939393939,3437,0,8,8,384,-3.994742152846425,-3.987456528162409,-3.985971240480343,0.28248970323452,2.6634743447826166,0.0013571095551010437
3.0,33.0,3.75,0.8863636363636364,3413,0,24,24,408,-3.9947012592321722,-3.9874045828504956,-3.98581007228605,0.30092254637687793,2.6481184081165257,0.001463666308204381
3.0,33.0,4.0,0.8787878787878788,3357,0,56,56,464,-3.9945870141039275,-3.987319756558355,-3.9853472175723965,0.3644086690470777,3.0063715196383907,0.001737506811101408
