n,a_circ,a,x0,y0,N_sites,E0,Ekin0,lamA_sites,lamA_an
2.0,36.0,36.0,0.75,0.0,4066,-3.995623182900513,0.004376817099486896,5.6646867652235775,5.672354960935018
2.0,36.0,36.0,0.75,0.25,4073,-3.995629803672617,0.0043701963273830025,5.665855381057032,5.663774440288372
2.0,36.0,36.0,0.75,0.5,4076,-3.995632772110026,0.00436722788997379,5.666177268142248,5.659927345406033
2.0,36.0,36.0,0.75,0.75,4073,-3.995629803672616,0.004370196327383891,5.665855381058183,5.663774440289524
2.0,48.0,47.99999999999999,0.0,0.0,7209,-3.997519053449916,0.0024809465500839067,5.693018049019858,5.71610085139332
2.0,48.0,47.99999999999999,0.0,0.25,7224,-3.9975235064937458,0.0024764935062542293,5.694624052783555,5.705841038409743
2.0,48.0,47.99999999999999,0.0,0.5,7236,-3.997527699973032,0.0024723000269681883,5.6944247608613425,5.696179262134705
2.0,48.0,47.99999999999999,0.0,0.75,7224,-3.9975235064937458,0.0024764935062542293,5.694624052783555,5.705841038409743
2.0,48.0,47.99999999999999,0.25,0.0,7224,-3.997523506493745,0.0024764935062551174,5.694624052785598,5.70584103841179
2.0,48.0,47.99999999999999,0.25,0.25,7242,-3.9975294117028537,0.0024705882971463033,5.695200626182054,5.692235436625082
2.0,48.0,47.99999999999999,0.25,0.5,7250,-3.997532043389363,0.0024679566106371453,5.6954186618287155,5.686172030907982
2.0,48.0,47.99999999999999,0.25,0.75,7242,-3.9975294117028524,0.0024705882971476356,5.695200626185124,5.692235436628152
2.0,48.0,47.99999999999999,0.5,0.0,7236,-3.997527699973031,0.0024723000269690765,5.69442476086339,5.696179262136751
2.0,48.0,47.99999999999999,0.5,0.25,7250,-3.9975320433893624,0.0024679566106375894,5.69541866182974,5.686172030909005
2.0,48.0,47.99999999999999,0.5,0.5,7232,-3.997526371477735,0.00247362852226507,5.694335149587106,5.69924011529872
2.0,48.0,47.99999999999999,0.5,0.75,7250,-3.997532043389362,0.0024679566106380335,5.6954186618307645,5.686172030910029
2.0,48.0,47.99999999999999,0.75,0.0,7224,-3.9975235064937458,0.0024764935062542293,5.694624052783555,5.705841038409743
2.0,48.0,47.99999999999999,0.75,0.25,7242,-3.9975294117028524,0.0024705882971476356,5.695200626185124,5.692235436628152
2.0,48.0,47.99999999999999,0.75,0.5,7250,-3.997532043389361,0.0024679566106389217,5.695418661832815,5.686172030912075
2.0,48.0,47.99999999999999,0.75,0.75,7242,-3.997529411702853,0.0024705882971471915,5.695200626184101,5.692235436627128
3.0,24.0,22.630664388698886,0.0,0.0,1805,-3.990155470214845,0.009844529785155043,5.656168135579378,5.670449156249305
3.0,24.0,22.630664388698886,0.0,0.25,1809,-3.990168429120223,0.00983157087977693,5.661240549819144,5.6629848267515115
3.0,24.0,22.630664388698886,0.0,0.5,1814,-3.9902001088527976,0.009799891147202366,5.658595655522655,5.644737300788563
3.0,24.0,22.630664388698886,0.0,0.75,1809,-3.9901684291202226,0.009831570879777374,5.6612405498194,5.662984826751767
3.0,24.0,22.630664388698886,0.25,0.0,1809,-3.990168429120224,0.009831570879776041,5.661240549818633,5.662984826751
3.0,24.0,22.630664388698886,0.25,0.25,1806,-3.990155242222726,0.009844757777274005,5.659432812029485,5.670580479709827
3.0,24.0,22.630664388698886,0.25,0.5,1816,-3.9902103968902862,0.009789603109713774,5.658887452173654,5.638811391195134
3.0,24.0,22.630664388698886,0.25,0.75,1806,-3.9901552422227264,0.00984475777727356,5.659432812029229,5.67058047970957
3.0,24.0,22.630664388698886,0.5,0.0,1814,-3.9902001088527967,0.009799891147203255,5.658595655523168,5.644737300789074
3.0,24.0,22.630664388698886,0.5,0.25,1816,-3.9902103968902862,0.009789603109713774,5.658887452173654,5.638811391195134
3.0,24.0,22.630664388698886,0.5,0.5,1816,-3.9902369504625748,0.009763049537425239,5.643538139709201,5.623516533556939
