preregistration_commit,rules_changed_after_execution,S_experiment_started_after_preregistration,protocol_branch,implementation_branch,n,alpha,candidate_rank,candidate_type,a,b,aspect_ratio,Ekin_target,E0_Kwant,E1_Kwant,E2_Kwant,E3_Kwant,Ekin_Kwant,dE1_Kwant,dE2_Kwant,Q_Kwant,S_Kwant,geometry_hash,N_sites,N_A,N_B,imbalance_ratio,failure_mode,passes_Ekin_constraint,passes_Q_constraint
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,2.0,0.95,2,method_candidate,27.513311665872397,26.550345757566863,0.965,0.007727409624868287,-3.9923047920663777,-3.980827745050797,-3.98013130359603,-3.965257726516311,0.007695207933622328,0.0114770470155805,0.0006964414547669939,1.4914537871594542,0.09050326654905105,5ae72ff5ada2f78147c930cc70279e5f0e2a9f52b792055528978ef7ce69207c,2299,1153,1146,0.003044802087864289,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,2.0,0.95,3,method_candidate,27.172871452879612,26.765278381086418,0.985,0.007727409624868287,-3.992265130837701,-3.980550011053856,-3.9802072647853075,-3.9649291926931167,0.007734869162299152,0.011715119783844763,0.00034274626854857715,1.5145853844491535,0.044311837906602355,7ff86373618a8a719ebc63a9cd51338ccc10f7f8c69d3e661f1de16021dacc44,2287,1145,1142,0.0013117621337997377,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,2.0,0.95,4,method_candidate,26.924700642325856,26.924700642325856,1.0,0.007727409624868287,-3.992183872365621,-3.9801724570574786,-3.9801724570573715,-3.964486092137974,0.00781612763437911,0.012011415308142315,1.0702549957386509e-13,1.5367475903681893,1.369290581989925e-11,431e66a8a2d67a9841e38c4e6821ec04478759f8005bba1bf3290c0ecda9f6cd,2261,1137,1124,0.005749668288367979,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,2.0,0.9,1,method_candidate,28.70209540202091,25.83188586181882,0.9,0.007727409624868287,-3.9923712586107984,-3.9816238756420534,-3.97967641371924,-3.966318062455323,0.007628741389201554,0.010747382968745,0.001947461922813254,1.408801586059513,0.25527958328353834,807a5fa8c72814e5fce91ac8191e3c0d53e5f2660e69c59815e36843a4c641cf,2327,1169,1158,0.004727116458960034,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,2.0,0.9,2,method_candidate,28.322102539405343,26.056334336252917,0.92,0.007727409624868287,-3.992350806976129,-3.9814128143449725,-3.9797823606582288,-3.9659130250228682,0.007649193023870904,0.010937992631156579,0.0016304536867437491,1.4299537999658642,0.21315368584052957,3c92ff04355210c03c78a72609a172ea0ef6be432be00abe9e61218e2a46d720,2321,1163,1158,0.002154243860404998,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,2.0,0.9,3,method_candidate,28.045623901878134,26.222658348256058,0.935,0.007727409624868287,-3.9923485082697843,-3.9811951230103215,-3.9799866234122327,-3.9656300614183198,0.0076514917302157315,0.011153385259462745,0.0012084995980887747,1.457674614666058,0.15794300519419124,22a5fa13458d83bb6094afb602d3b19eb3db6d208191ac4e054de5f23c81b677,2317,1159,1158,0.00043159257660768235,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,2.0,0.9,4,method_candidate,27.68778549047297,26.441835143401683,0.955,0.007727409624868287,-3.9923457671950353,-3.9809875213825805,-3.9801790578557763,-3.9654334940284204,0.007654232804964689,0.011358245812454815,0.0008084635268041929,1.4839169518188196,0.10562306470216155,cf64feb106cd9eee40661138a0d491338636725e3f7226a3973341dcf36ccf2b,2311,1157,1154,0.0012981393336218088,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,2.0,0.9,5,method_candidate,27.341698291186976,26.6581558339073,0.975,0.007727409624868287,-3.992293763151216,-3.9807128199806407,-3.9801902051201985,-3.9651418718080063,0.0077062368487839095,0.011580943170575342,0.0005226148604422498,1.5028013539971699,0.0678171292548219,2b6605dbd3a4160e7bb186e403c24e8e6505fd569174bcf87bb6ef8f12b1f332,2295,1149,1146,0.00130718954248366,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.95,1,method_candidate,27.582371269541493,26.341164562412125,0.955,0.007053480364534792,-3.993059737089269,-3.9828394221478067,-3.982058767840654,-3.970066045651861,0.006940262910731132,0.010220314941462139,0.0007806543071526839,1.4726120714619246,0.11248195020762473,a5140bd3e745b1aedc8ca7629b172de6bc9c5008da4954f32115e9e712b82330,2575,1289,1286,0.0011650485436893205,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.95,2,method_candidate,27.160035559483536,26.616834848293866,0.98,0.007053480364534792,-3.9930326377768104,-3.982618894215085,-3.9821526349299763,-3.9700260432320134,0.00696736222318961,0.010413743561725308,0.00046625928510879433,1.4946465000865088,0.06692048872626921,0f4f783754d17acf17f536cff7ac2c07fdb214f90fa5b22a6188c9dfd6cbc3bf,2567,1285,1282,0.001168679392286716,ok,True,True
