n,a,aspect_ratio,N_sites,E0,E1,E2,E3,dE1,dE2,dE3,E_kin,scaled_E0,scaled_dE1,analytic_area,N_sites_over_area,R_eff,E_Bessel,bessel_relative_error,N_A,N_B,delta_N,imbalance_ratio
3.0,27.0,0.67,1723,-3.9889436120478283,-3.977643994520938,-3.9665152457652257,-3.9601936220251606,0.011299617526890238,0.011128748755712348,0.006321623740065174,0.011056387952171676,8.060106817133152,8.237421177102984,1725.7587296038457,0.998401439577548,nan,nan,nan,861,862,-1,0.0005803830528148578
4.0,27.0,0.67,1815,-3.989390637030978,-3.9786203751275893,-3.967945684604757,-3.961500835527265,0.0107702619033887,0.010674690522832098,0.0064448490774919875,0.01060936296902204,7.734225604417068,7.851520927570363,1811.171389268619,1.0021138864902934,nan,nan,nan,905,910,-5,0.0027548209366391185
1.2,27.0,0.72,1237,-3.9846332952154384,-3.965721938735772,-3.957142092875773,-3.9428634047607245,0.018911356479666352,0.008579845859999047,0.01427868811504851,0.015366704784561591,11.2023277879454,13.786378873676771,1234.7173845153604,1.0018486946999094,nan,nan,nan,613,624,-11,0.00889248181083266
2.0,27.0,0.72,1657,-3.9888872134640434,-3.9761539176086353,-3.9675638919935245,-3.9577565927626708,0.012733295855408056,0.008590025615110797,0.009807299230853772,0.011112786535956598,8.10122138471236,9.282572678592473,1648.9591520162105,1.0048763172659296,nan,nan,nan,829,828,1,0.0006035003017501509
3.0,27.0,0.72,1845,-3.9899001055217274,-3.97872555918492,-3.9702484240759275,-3.9612519252714664,0.011174546336807367,0.008477135108992506,0.008996498804461073,0.010099894478272642,7.362823074660756,8.14624427953257,1854.5466944996547,0.9948522760154981,nan,nan,nan,921,924,-3,0.0016260162601626016
4.0,27.0,0.72,1937,-3.9902339462528618,-3.9796198383204513,-3.97125497960506,-3.9623760696550083,0.010614107932410466,0.008364858715391499,0.008878909950051472,0.009766053747138237,7.119453181663775,7.737684682727229,1946.3334332438885,0.9952046072453614,nan,nan,nan,965,972,-7,0.0036138358286009293
1.2,27.0,0.78,1329,-3.985940967373032,-3.9675388232515973,-3.961831943688048,-3.945345884993688,0.018402144121434816,0.005706879563549538,0.016486058694359595,0.014059032626967838,10.249034785059553,13.41516306452598,1337.610499891641,0.9935627748942323,nan,nan,nan,655,674,-19,0.014296463506395787
2.0,27.0,0.78,1785,-3.9898557779488586,-3.9773005480314088,-3.971288335798119,-3.959154517220684,0.01255522991744984,0.006012212233289738,0.012133818577435118,0.010144222051141405,7.395137875282084,9.152762609820932,1786.3724146842287,0.9992317309241079,nan,nan,nan,895,890,5,0.0028011204481792717
3.0,27.0,0.78,2009,-3.990873289983398,-3.9798526812812334,-3.974044539328594,-3.9625251361275655,0.01102060870216448,0.005808141952639456,0.0115194032010284,0.009126710016602146,6.653371602102965,8.034023743877906,2009.092252374627,0.9999540825591667,nan,nan,nan,1007,1002,5,0.0024888003982080635
4.0,27.0,0.78,2101,-3.9911676008306975,-3.9805345311495217,-3.9749768531543097,-3.963503562050769,0.010633069681175833,0.005557677995212007,0.011473291103540895,0.008832399169302452,6.438818994421487,7.751507797577182,2108.5278860142134,0.9964297906306359,nan,nan,nan,1051,1050,1,0.00047596382674916705
1.2,27.0,0.83,1431,-3.9870026759616506,-3.9696172316149236,-3.9651111407207837,-3.948870608286673,0.017385444346726953,0.004506090894139891,0.016240532434110833,0.012997324038349412,9.47504922395672,12.673988928763949,1423.3547627052076,1.0053712802283121,nan,nan,nan,717,714,3,0.0020964360587002098
2.0,27.0,0.83,1907,-3.9906180768916495,-3.978251252227556,-3.974178711270943,-3.9604948020309316,0.012366824664093556,0.004072540956613135,0.013683909240011172,0.00938192310835051,6.839421945987521,9.015415180124203,1900.8834669075766,1.0032177317541584,nan,nan,nan,957,950,7,0.0036706869428421605
3.0,27.0,0.83,2135,-3.9915224075954217,-3.9805535979093745,-3.976605953014444,-3.9636227593453657,0.010968809686047187,0.003947644894930491,0.012983193669078297,0.008477592404578349,6.180164862937616,7.9962622611283996,2137.880217270436,0.9986527695765326,nan,nan,nan,1069,1066,3,0.001405152224824356
4.0,27.0,0.83,2231,-3.991763068205773,-3.981227277132416,-3.9773200480659447,-3.9657196023143912,0.010535791073357004,0.0039072290664714515,0.011600445751553501,0.008236931794226798,6.004723277991336,7.680591692477256,2243.6899299894835,0.9943441694773114,nan,nan,nan,1109,1122,-13,0.00582698341550874
