n,target,protocol,model,feature_set,seed,left_out_group,mae,rmse,max_abs_error,n_iter,max_iter,converged
1.2,E0,LOARO,mlp,raw,6,1.0,0.00017052596902153994,0.00020494891546952518,0.0003921700421409824,102.0,5000.0,True
1.2,E0,LOARO,mlp,raw,7,0.67,0.0003584366997611887,0.0004765352474767563,0.0009856270467176742,60.0,5000.0,True
1.2,E0,LOARO,mlp,raw,7,0.72,7.631240051004795e-05,0.0001183891085510774,0.0002541054251192776,113.0,5000.0,True
1.2,E0,LOARO,mlp,raw,7,0.78,6.687484318899096e-05,7.764820582168265e-05,0.00013035564132257704,132.0,5000.0,True
1.2,E0,LOARO,mlp,raw,7,0.83,3.4654930806254926e-05,5.284023704338353e-05,0.00011279823809351441,131.0,5000.0,True
1.2,E0,LOARO,mlp,raw,7,0.89,5.814369590639856e-05,7.336881407179506e-05,0.00013176521413926778,113.0,5000.0,True
1.2,E0,LOARO,mlp,raw,7,0.94,8.022478917810716e-05,9.810572504173516e-05,0.00018818691407895827,145.0,5000.0,True
1.2,E0,LOARO,mlp,raw,7,1.0,0.00020110571281550804,0.0002887901053223057,0.0005869258540402988,112.0,5000.0,True
1.2,E0,LOARO,mlp,raw,8,0.67,0.00022629264775764213,0.00038296154208533606,0.0008370556370085325,73.0,5000.0,True
1.2,E0,LOARO,mlp,raw,8,0.72,7.844324285626314e-05,0.00013264635321401952,0.00028988104066263176,164.0,5000.0,True
1.2,E0,LOARO,mlp,raw,8,0.78,6.791823229033156e-05,8.699736987385337e-05,0.00016630961437646974,181.0,5000.0,True
1.2,E0,LOARO,mlp,raw,8,0.83,3.6407998183207726e-05,4.489891534997812e-05,8.705067197878336e-05,68.0,5000.0,True
1.2,E0,LOARO,mlp,raw,8,0.89,4.741630523747986e-05,5.788543019611814e-05,9.458259067995911e-05,153.0,5000.0,True
1.2,E0,LOARO,mlp,raw,8,0.94,9.363068683363452e-05,0.00010476486604185213,0.00014659236023062405,84.0,5000.0,True
1.2,E0,LOARO,mlp,raw,8,1.0,0.00013974777333425337,0.00019226812848948419,0.0003848795300727126,51.0,5000.0,True
1.2,E0,LOARO,mlp,raw,9,0.67,0.0002386182723856045,0.0004329181451780555,0.0009589181664160229,65.0,5000.0,True
1.2,E0,LOARO,mlp,raw,9,0.72,8.896717115058905e-05,0.00012601996039015293,0.0002575508083229039,75.0,5000.0,True
1.2,E0,LOARO,mlp,raw,9,0.78,5.2078343107808676e-05,6.660618159051496e-05,0.00011028708155969014,105.0,5000.0,True
