n,target,protocol,left_out_group,a,aspect_ratio,y_true,y_pred,residual,abs_residual,squared_residual,N_sites,analytic_area,N_sites_over_area,edge_area_error_signed,edge_area_error_abs,N_A,N_B,delta_N,imbalance_ratio,abs_delta_N_over_N
1.2,E0,LOARO,0.72,24.0,0.72,-3.980772670709243,-3.9810260542372875,-0.000253383528044715,0.000253383528044715,6.420321228438686e-08,983.0,975.5791680121368,1.0076065912754,0.0076065912753999765,0.0076065912753999765,497.0,486.0,11.0,0.011190233977619531,0.011190233977619531
1.2,E0,LOARO,0.72,27.0,0.72,-3.9846332952154384,-3.984776358317923,-0.0001430631024845752,0.0001430631024845752,2.046705129251207e-08,1237.0,1234.7173845153604,1.0018486946999094,0.0018486946999094478,0.0018486946999094478,613.0,624.0,-11.0,0.00889248181083266,0.00889248181083266
1.2,E0,LOARO,0.72,30.0,0.72,-3.9875016952579796,-3.9874589287661895,4.276649179013603e-05,4.276649179013603e-05,1.8289728200357723e-09,1523.0,1524.3424500189635,0.9991193251759493,-0.0008806748240507423,0.0008806748240507423,767.0,756.0,11.0,0.007222586999343401,0.007222586999343401
1.2,E0,LOARO,0.72,33.0,0.72,-3.9896443033695537,-3.9894437275189083,0.0002005758506453681,0.0002005758506453681,4.023067186211301e-08,1845.0,1844.454364522946,1.0002958248724116,0.000295824872411643,0.000295824872411643,915.0,930.0,-15.0,0.008130081300813009,0.008130081300813009
1.2,E0,LOARO,0.72,36.0,0.72,-3.9912445216293646,-3.990953329744852,0.00029119188451254274,0.00029119188451254274,8.479271360596604e-08,2187.0,2195.0531280273076,0.9963312377616368,-0.00366876223836321,0.00366876223836321,1101.0,1086.0,15.0,0.006858710562414266,0.006858710562414266
1.2,E0,LOARO,0.78,24.0,0.78,-3.9823745900182175,-3.982321044068561,5.354594965645276e-05,5.354594965645276e-05,2.8671687246113737e-09,1053.0,1056.877432013148,0.9963312377616368,-0.00366876223836321,0.00366876223836321,535.0,518.0,17.0,0.016144349477682812,0.016144349477682812
1.2,E0,LOARO,0.78,27.0,0.78,-3.985940967373032,-3.985888886674117,5.20806989152689e-05,5.20806989152689e-05,2.712399199502891e-09,1329.0,1337.610499891641,0.9935627748942323,-0.006437225105767719,0.006437225105767719,655.0,674.0,-19.0,0.014296463506395787,0.014296463506395787
1.2,E0,LOARO,0.78,30.0,0.78,-3.9886133789538607,-3.988440943502561,0.0001724354512995241,0.0001724354512995241,2.9733984864870543e-08,1651.0,1651.3709875205443,0.9997753457440225,-0.00022465425597750777,0.00022465425597750777,837.0,814.0,23.0,0.013930950938824955,0.013930950938824955
1.2,E0,LOARO,0.78,33.0,0.78,-3.9905729120793847,-3.990329176936743,0.00024373514264164342,0.00024373514264164342,5.9406819758542266e-08,2001.0,1998.1588948998583,1.0014218614482528,0.001421861448252848,0.001421861448252848,1001.0,1000.0,1.0,0.0004997501249375312,0.0004997501249375312
1.2,E0,LOARO,0.78,36.0,0.78,-3.9920332236261946,-3.9917653333185616,0.0002678903076329675,0.0002678903076329675,7.176521692368597e-08,2377.0,2377.974222029584,0.9995903143017453,-0.0004096856982547248,0.0004096856982547248,1189.0,1188.0,1.0,0.00042069835927639884,0.00042069835927639884
1.2,E0,LOARO,0.83,24.0,0.83,-3.9835555589355227,-3.983299860815715,0.00025569811980785673,0.00025569811980785673,6.538152847327305e-08,1127.0,1124.625985347324,1.0021109370436099,0.002110937043609873,0.002110937043609873,563.0,564.0,-1.0,0.0008873114463176575,0.0008873114463176575
1.2,E0,LOARO,0.83,27.0,0.83,-3.9870026759616506,-3.986740321745203,0.00026235421644749124,0.00026235421644749124,6.882973488777709e-08,1431.0,1423.3547627052076,1.0053712802283121,0.005371280228312125,0.005371280228312125,717.0,714.0,3.0,0.0020964360587002098,0.0020964360587002098
1.2,E0,LOARO,0.83,30.0,0.83,-3.989424075897212,-3.989201263210061,0.00022281268715129698,0.00022281268715129698,4.964549355558174e-08,1765.0,1757.2281021051942,1.0044228167563989,0.004422816756398884,0.004422816756398884,879.0,886.0,-7.0,0.00396600566572238,0.00396600566572238
1.2,E0,LOARO,0.83,33.0,0.83,-3.9912054456829944,-3.991022081579666,0.00018336410332819852,0.00018336410332819852,3.3622394389354266e-08,2129.0,2126.246003547285,1.0012952388614114,0.001295238861411363,0.001295238861411363,1071.0,1058.0,13.0,0.0061061531235321745,0.0061061531235321745
