n,aspect_ratio,a_root,b_root,Ekin_target,Ekin_pred,dE1_pred,dE2_pred,Q_pred,geometry_hash,N_sites,N_A,N_B,imbalance_ratio,is_kwant_verified,requested_aspect_ratio,E0_Kwant,E1_Kwant,E2_Kwant,E3_Kwant,Ekin_Kwant,dE1_Kwant,dE2_Kwant,Q_Kwant,S_Kwant,failure_mode
1.2,0.88,29.095808695493734,25.604311652034486,0.010689289799576063,0.01068928979957605,0.014811114021836477,0.002704552635094342,1.3856031878211312,fbcad921af9516c2c13bba41f8791adaedd56a1c41587a4ab62355f82c78e3aa,1737,877,860,0.00978698906160046,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.885,28.99937842063048,25.664449902257978,0.010689289799576063,0.01068928979957605,0.014866902790861572,0.002594505540418033,1.390822315571537,bae6ea4d50258a2d2f4b64c23ff87c6e2c2a4e708b5e6786c1cece345c485a01,1739,881,858,0.013225991949396205,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.89,28.903798900206738,25.724381021183998,0.010689289799576063,0.010689289799576049,0.014922723244662896,0.002484396789542487,1.3960444074829697,748ed166f8bcbc5619699552a8db0eeb10b270919f10b98bd075207c0e9b1ece,1743,885,858,0.01549053356282272,True,0.89,-3.9893941119361926,-3.974243872603198,-3.972464110536066,-3.956861364792973,0.010605888063807356,0.01515023933299453,0.0017797620671320402,1.4284743759171659,0.16780886771806378,ok
1.2,0.895,28.809058147471543,25.78410704198703,0.010689289799576063,0.010689289799576049,0.014978575193618301,0.0023742267514582087,1.4012694458159765,2b74e2221fe8f80707fbc43101c6467873e2c5326206a6a2a544b6124d7dec16,1739,881,858,0.013225991949396205,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.905,28.622046153972367,25.90295176934499,0.010689289799576063,0.01068928979957605,0.015090372826038125,0.0021537042749621028,1.411728291493849,7c7b5f09ffa2827e5adbb166547ad42721bd5cfebfbcce123ff31d061fbb8b25,1743,881,862,0.010900745840504877,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.91,28.52975207856516,25.962074391494298,0.010689289799576063,0.010689289799576047,0.015146318137748811,0.0020433525599551617,1.4169620640605642,6bcd05916caf7ea3e8feaaa15e821c1b7099ddb6544166d0f371834871660f04,1739,877,862,0.008625646923519264,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.915,28.438251090589276,26.02099974788919,0.010689289799576063,0.010689289799576049,0.01520229420107665,0.0019329410046066125,1.4221987134897955,d0f31842947f075825274dc191a71f4545a61c9772ec13818297a483160ca23e,1737,879,858,0.012089810017271158,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.925,28.25758505895529,26.138266179533645,0.010689289799576063,0.01068928979957605,0.015314337855140626,0.0017119397884344952,1.4326805748823472,cc62212c9b6e0c5d581d5bb835a2be6a5648f96292f4df6a743283576711b5ea,1737,879,858,0.012089810017271158,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.93,28.16839886459659,26.19661094407483,0.010689289799576063,0.010689289799576064,0.015370405085733155,0.001601350828423431,1.4379257531536607,2af942e09cc2c8d71ccdf93e0f90edd517179ad28cc5cda3d39cd761f72972ad,1741,879,862,0.009764503159103963,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.94,27.992268716072033,26.31273259310771,0.010689289799576063,0.010689289799576063,0.01548262946426675,0.0013799979359818016,1.4484245216067386,a8ba2bf5b357c53409957ac0c803c28363a49e61b41322504089f8b1b9cf7091,1731,873,858,0.008665511265164644,True,0.94,-3.9893874155821005,-3.97388812654327,-3.972752993870409,-3.9563377748481714,0.010612584417899473,0.015499289038830355,0.0011351326728612499,1.4604632037309246,0.10696100291524695,ok
