shape_n,scale_a0,deformation_mode,delta,xi,metric,frac_ambiguous,n_placements,mean,std,median,min,max,q5,q25,q75,q95,frac_neg,count
2.0,24.3,area_preserving,0.00411522633744856,0.1,chi_center,0.015625,256,-5.862758750759967e-05,0.006772469406854208,0.0,-0.020405246762402296,0.01615313893802739,-0.009612527904937584,-0.006254172443173943,0.005755910204591429,0.012947089174309815,0.48412698412698413,252
2.0,24.3,area_preserving,0.00411522633744856,0.1,chi_split,0.015625,256,-0.002325014292428627,0.02437952221762145,0.0022607385314967754,-0.059299160875175165,0.04866613222884774,-0.04808347374203045,-0.022527599793348282,0.01754015447131474,0.030390373750098718,0.42857142857142855,252
2.0,24.3,area_preserving,0.00411522633744856,0.1,legacy_raw_ratio,0.015625,256,0.028296560900877208,0.014277067058853742,0.027820749348067993,6.832354579699995e-05,0.06257572630494845,0.0063837123804784575,0.017189065408065862,0.037896827520489396,0.05623439164073173,0.0,252
2.0,24.3,area_preserving,0.00411522633744856,0.1,sorted_baseline_corrected_ratio,0.015625,256,0.009517340419752813,0.01499113160280905,0.00885454213640502,-0.040274368486992174,0.04866613222884774,-0.017535100823308468,0.0003212715602511906,0.020451249127746315,0.03231082400326546,0.21825396825396826,252
2.0,24.3,area_preserving,0.008,0.19440000000000002,chi_minus,0.03125,256,0.0014525334078140152,0.014205328402348075,-0.003212062884394573,-0.02554837679769051,0.029711365170104198,-0.01715835231930196,-0.011831403729012369,0.01438621291474651,0.02209544598447133,0.5443548387096774,248
2.0,24.3,area_preserving,0.008,0.19440000000000002,chi_plus,0.03125,256,-0.001598004601155982,0.011991639176343171,0.00010919715912049988,-0.029119711033642748,0.034327064038663924,-0.024189304078547913,-0.010084000128682269,0.00703066568391586,0.015565884912507868,0.5,248
2.0,24.3,area_preserving,0.008,0.19440000000000002,chi_center,0.03125,256,-7.273559667109544e-05,0.004946421651866227,0.00016128890809041785,-0.013605853362630427,0.020306895807287173,-0.009729096518268365,-0.0033117072533173086,0.0032399979258551648,0.008201813742589319,0.4717741935483871,248
2.0,24.3,area_preserving,0.008,0.19440000000000002,chi_split,0.03125,256,-0.0030505380089699973,0.02435802088996733,0.008134421174199602,-0.04806016398467561,0.03243651413326054,-0.038366117062815785,-0.02711204428502978,0.017428148509482377,0.02793576585597978,0.4475806451612903,248
2.0,24.3,area_preserving,0.008,0.19440000000000002,legacy_raw_ratio,0.03125,256,0.024399993167153796,0.007892581509133306,0.026170145459608607,0.008991783282896737,0.03870594162902474,0.01201376573987667,0.016936770969477877,0.030775104305061363,0.03539761174899403,0.0,248
2.0,24.3,area_preserving,0.008,0.19440000000000002,sorted_baseline_corrected_ratio,0.03125,256,0.014625237921265539,0.008854277468513255,0.014102761616646697,-0.005834141382443647,0.03243651413326054,0.001384241678245579,0.008095114370151868,0.019747763451011258,0.03004052271789459,0.03225806451612903,248
