shape_n,scale_a0,deformation_mode,placement_grid,delta,xi,dx,dy,theta,n_sites_0,n_sites_delta,added_sites,removed_sites,symmetric_difference,cut_bonds,E0_0,Eminus_0,Eplus_0,E0_delta,Eminus_delta,Eplus_delta,S0_sorted,Sdelta_sorted,legacy_raw_ratio,sorted_baseline_corrected_ratio,chi_minus,chi_plus,chi_center,chi_split,overlap_11,overlap_12,overlap_21,overlap_22,assignment_score_best,assignment_score_second,assignment_margin,subspace_sv_min,subspace_sv_max,branch_status,symmetry_class_0,symmetry_class_delta,solve_status
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.40625,0.0,3566,3569,6,3,9,6,-3.9950146647431546,-3.987355129892962,-3.987344858126778,-3.995017247819569,-3.987334905375638,-3.987378091680024,1.0271766184288822e-05,4.318630438593374e-05,0.01455378457805967,0.011092199373954337,0.006815662338179429,-0.011199707443985574,-0.0021920225529030724,-0.018015369782165003,0.08012577244486942,0.9198546623060702,0.9198395809873523,0.08012592218945754,1.8396942432934225,0.16025169463432695,1.6794425486590956,0.9999825509918041,0.9999904177739272,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.4375,0.0,3567,3572,7,2,9,4,-3.9950161373383084,-3.9873600974917824,-3.9873473848289747,-3.9950216197504127,-3.9873474620664817,-3.9873878482379825,1.271266280777894e-05,4.0386171500816914e-05,0.0136101397957753,0.009325972429553797,0.004258138326343364,-0.01363616883565344,-0.004689015254580209,-0.017894307161996803,0.002803812393893261,0.9971777198991713,0.9971515153772872,0.002804121766574383,1.9943292352764583,0.0056079341604676446,1.9887213011159908,0.9999775711466028,0.9999910132799528,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.46875,0.0,3571,3573,5,3,8,6,-3.9950220571382373,-3.9873790333444474,-3.9873586046270844,-3.9950233562497575,-3.987357001347664,-3.987387190022371,2.042871736307461e-05,3.0188674707165575e-05,0.010173583376314799,0.0032891056249586548,0.007424782916009676,-0.009633278211661267,-0.0011042476479006247,-0.017058061127670943,0.09330113030999596,0.9066787066243173,0.9066732830864961,0.09330064469243841,1.8133519897108132,0.18660177500243436,1.626750214708379,0.9999869627247293,0.999989919496101,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.5,0.0,3572,3570,4,6,10,12,-3.9950233209859225,-3.987381347524571,-3.9873625190308135,-3.9950192008453937,-3.9873448172776844,-3.987378501611272,1.8828493757450104e-05,3.3684333587746806e-05,0.011351620419070674,0.005006418022809989,0.012310693200765943,-0.005386129614565416,0.0034622817929506056,-0.01769682281533136,9.546072137076706e-23,0.9999545524040445,0.9999689913182667,9.543256770268696e-23,1.999923543722311,1.9089328907345403e-22,1.999923543722311,0.9999772759438309,0.9999844955389392,OK,Cs_axis,Cs_axis,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.53125,0.0,3571,3573,5,3,8,6,-3.995022057138237,-3.9873790333444483,-3.987358604627085,-3.995023356249758,-3.987357001347665,-3.987387190022371,2.04287173635187e-05,3.0188674706277396e-05,0.010173583376015483,0.0032891056245096806,0.007424782916009676,-0.009633278211511609,-0.0011042476477509666,-0.017058061127521285,0.0933011302911057,0.9066787066432048,0.9066732831053843,0.09330064467354846,1.8133519897485892,0.18660177496465416,1.626750214783935,0.9999869627247285,0.9999899194960997,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.5625,0.0,3567,3572,7,2,9,4,-3.9950161373383084,-3.987360097491783,-3.9873473848289755,-3.9950216197504123,-3.9873474620664826,-3.9873878482379825,1.2712662807334851e-05,4.0386171499928736e-05,0.013610139795475984,0.009325972429404139,0.004258138326193706,-0.013636168835354123,-0.004689015254729867,-0.01789430716154783,0.0028038123940109334,0.9971777198990507,0.9971515153771744,0.0028041217666919787,1.9943292352762252,0.005607934160702912,1.9887213011155223,0.9999775711466055,0.9999910132799511,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.59375,0.0,3566,3569,6,3,9,6,-3.9950146647431555,-3.9873551298929626,-3.987344858126779,-3.995017247819569,-3.9873349053756386,-3.9873780916800237,1.0271766183400644e-05,4.318630438504556e-05,0.014553784577760354,0.011092199373954337,0.006815662338179429,-0.011199707443386941,-0.0021920225526037562,-0.01801536978156637,0.08012577247983431,0.9198546622711048,0.9198395809523909,0.08012592222442334,1.8396942432234957,0.16025169470425765,1.6794425485192381,0.9999825509918062,0.9999904177739269,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.625,0.0,3567,3567,5,5,10,10,-3.995016151736334,-3.987355984936274,-3.987351541809425,-3.9950145804567003,-3.9873255336441287,-3.987374089746852,4.443126848663326e-06,4.855610272347377e-05,0.01636340661781066,0.01486607286981112,0.01026208545292695,-0.0075986549128832515,0.0013317152700218493,-0.0178607403658102,0.0698193555405304,0.9301459944847386,0.930148632419181,0.06981999778757439,1.8602946269039196,0.1396393533281048,1.7206552735758147,0.9999825801435933,0.9999844096991645,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.65625,0.0,3567,3566,6,7,13,15,-3.995015804855244,-3.987357592916865,-3.98734810041808,-3.9950143288176534,-3.987320178359231,-3.987377953493187,9.49249878523517e-06,5.777513395610612e-05,0.01947022014320776,0.01627124805258351,0.012608705922754204,-0.01006048631107781,0.0012741098058381972,-0.022669192233832014,0.31830806111147586,0.6816409929496889,0.6816554330319536,0.31831604128598623,1.3632964259816425,0.6366241023974621,0.7266723235841803,0.999974508465404,0.9999857552977834,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.6875,0.0,3565,3567,6,4,10,8,-3.9950131170158447,-3.9873509726595255,-3.987340985422474,-3.9950158750739875,-3.987332472435499,-3.9873735496438774,9.987237051589659e-06,4.107720837831508e-05,0.013843019223492181,0.010477320337106466,0.0062345754969292955,-0.0109741426129486,-0.0023697835579348236,-0.017208718109877896,0.4725195427372178,0.527466528376498,0.5274442676638383,0.4725073056782353,1.0549107960403363,0.9450268484154531,0.10988394762488318,0.9999755495078454,0.9999932723985056,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.71875,0.0,3568,3570,5,3,8,6,-3.9950191952845513,-3.9873788210728827,-3.987343922919961,-3.99502010144117,-3.9873840131823277,-3.987343331230464,3.489815292168075e-05,4.068195186368584e-05,0.013709817778062128,0.001949140243455716,-0.001749740882982298,0.00019939936047341789,-0.000775170761104782,0.001949140243455716,0.7352771378338973,0.2646982711372873,0.2646912577253478,0.7352826492680092,1.4705597871019065,0.5293895288626351,0.9411702582392714,0.9999835611045876,0.9999910967029304,OK,Cs_diag,Cs_diag,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.75,0.0,3570,3570,5,5,10,10,-3.9950220625267723,-3.9873819106927098,-3.987355407162526,-3.995020080234883,-3.9873880437529965,-3.9873391102398075,2.650353018385232e-05,4.893351318902006e-05,0.01649059394469976,0.007558904272741529,-0.0020668413166311517,0.005492062956110377,0.0017126108197396128,0.007558904272741529,0.5709699448455204,0.42900620899936953,0.42899720471495967,0.5709588409423741,1.1419287857878946,0.8580034137143292,0.2839253720735654,0.9999780189711435,0.999988080467348,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.78125,0.0,3567,3570,6,3,9,6,-3.995017711897915,-3.987364970027545,-3.9873502291022462,-3.9950202781627904,-3.9873458359501672,-3.987382365191365,1.4740925298628582e-05,3.652924119768031e-05,0.012310354283618263,0.007342662457980431,0.0064481840762633524,-0.010829862032992743,-0.0021908389783646953,-0.017278046109256096,0.35958862173632233,0.6403676751828685,0.6403701993659747,0.35960340843033456,1.2807378745488434,0.7191920301666569,0.5615458443821865,0.9999762611903279,0.9999886908217077,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.8125,0.0,3564,3569,7,2,9,4,-3.9950138682650516,-3.9873526224772955,-3.987343175689753,-3.9950187980812095,-3.9873421718379993,-3.987378471556648,9.446787542444213e-06,3.629971864871351e-05,0.012233005184616452,0.009049437782812753,0.003521865442808192,-0.01189470714361196,-0.004186420850401884,-0.015416572586420152,0.023205868196772124,0.9767786191554259,0.9767461980117502,0.023202510908751348,1.953524817167176,0.04640837910552347,1.9071164380616525,0.9999734187067362,0.9999931790530682,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.84375,0.0,3565,3570,5,0,5,0,-3.995015280017566,-3.987354567987087,-3.987348365597172,-3.9950204290687266,-3.987354477220725,-3.9873744913450304,6.202389914999884e-06,2.001412430541194e-05,0.006744759890923824,0.004654554489568863,3.058826398794068e-05,-0.008804377028290844,-0.004386894382076623,-0.008834965292278785,0.1977318722845465,0.8022646830893633,0.8022365500063783,0.19773355984230107,1.6045012330957416,0.3954654321268476,1.209035800968894,0.9999837567318757,0.9999995757474069,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.875,0.0,3565,3568,5,2,7,4,-3.9950153202527656,-3.987357615622026,-3.987345452043828,-3.9950177141161216,-3.987347709398607,-3.987367515397138,1.2163578197998959e-05,1.9805998531019497e-05,0.006674621504953571,0.0025754956522279215,0.003338397292168782,-0.007435350065510438,-0.0020484763866708278,-0.01077374735767922,0.006180184344044611,0.9938076710214663,0.9937732869668994,0.006179231124602302,1.9875809579883656,0.012359415468646913,1.9752215425197188,0.999975953037713,0.9999942333850381,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.90625,0.0,3563,3567,7,3,10,6,-3.995012817038845,-3.9873530626670624,-3.987337278332628,-3.9950163018863254,-3.9873379101553152,-3.987370114833176,1.5784334434165714e-05,3.220467786091419e-05,0.010852976439128081,0.005533655734814236,0.0051063964587751975,-0.01106590068466673,-0.002979752112870937,-0.016172297143441927,0.008973027372040839,0.9909959951291403,0.9909569053158479,0.008971865320318807,1.981952900444988,0.017944892692359646,1.9640080077526285,0.9999641631213633,0.9999847326886244,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.9375,0.0,3563,3564,5,4,9,8,-3.9950126444609713,-3.9873504722599207,-3.9873390159491673,-3.995012123214184,-3.987323997548389,-3.9873628496554314,1.1456310753388266e-05,3.885210704224207e-05,0.013093160073235577,0.009232383349343731,0.008921977786115143,-0.00803195901101228,0.00044500938762626063,-0.016953936797127422,0.28238848134400996,0.7175711114529679,0.7175638588977497,0.28240409030887315,1.4351349703507177,0.5647925716528831,0.8703423986978346,0.9999742365288717,0.9999895340862827,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.96875,0.0,3562,3563,3,2,5,4,-3.995011557771145,-3.987345774192111,-3.98733818577336,-3.9950112485331464,-3.98733335610684,-3.9873490869379444,7.588418750703596e-06,1.57308311043991e-05,0.005301290082182497,0.002743992963195385,0.004184894736242395,-0.003673692464927214,0.0002556011357324195,-0.007858587201169609,0.1546489408603576,0.845340523773061,0.8453305831996051,0.15464957484845127,1.690671106972666,0.30929851570880884,1.3813725912638573,0.9999896728112135,0.9999951384643812,OK,C1,C1,OK
