n,rAR,N_grid,h,num_interior_points,level_index,lambda_fd_unit,lambda_bessel_unit_if_available,abs_error_vs_bessel_if_available,rel_error_vs_bessel_if_available,degeneracy_group_if_available,source
2.0,1.0,501,0.004,196297,3,26.30292931198997,26.374616427163392,0.07168711517342174,0.0027180344165912006,m2_s1,new_grid
2.0,1.0,501,0.004,196297,4,26.30419048826698,26.374616427163392,0.07042593889641324,0.002670216611145901,m2_s1,new_grid
2.0,1.0,501,0.004,196297,5,30.389044060910486,30.471262343662087,0.08221828275160092,0.002698223717295455,m0_s2,new_grid
4.0,1.0,101,0.02,9213,0,5.021543334281237,,,,,existing_grid
4.0,1.0,101,0.02,9213,1,12.627197941339396,,,,,existing_grid
4.0,1.0,101,0.02,9213,2,12.627197941340466,,,,,existing_grid
4.0,1.0,101,0.02,9213,3,20.743259652382626,,,,,existing_grid
4.0,1.0,101,0.02,9213,4,24.697275967513598,,,,,existing_grid
4.0,1.0,101,0.02,9213,5,25.655729234828,,,,,existing_grid
4.0,1.0,126,0.016,14404,0,5.029664222577228,,,,,new_grid
4.0,1.0,126,0.016,14404,1,12.652713036975566,,,,,new_grid
4.0,1.0,126,0.016,14404,2,12.65271303697595,,,,,new_grid
4.0,1.0,126,0.016,14404,3,20.819795011482466,,,,,new_grid
4.0,1.0,126,0.016,14404,4,24.713768363589402,,,,,new_grid
4.0,1.0,126,0.016,14404,5,25.730899179024032,,,,,new_grid
4.0,1.0,151,0.013333333333333334,20757,0,5.034120368684673,,,,,existing_grid
4.0,1.0,151,0.013333333333333334,20757,1,12.666467390053148,,,,,existing_grid
4.0,1.0,151,0.013333333333333334,20757,2,12.666467390055757,,,,,existing_grid
4.0,1.0,151,0.013333333333333334,20757,3,20.859627277902852,,,,,existing_grid
4.0,1.0,151,0.013333333333333334,20757,4,24.724046282517698,,,,,existing_grid
4.0,1.0,151,0.013333333333333334,20757,5,25.770220571446597,,,,,existing_grid
4.0,1.0,201,0.01,36965,0,5.037632040953055,,,,,existing_grid
4.0,1.0,201,0.01,36965,1,12.677136798152985,,,,,existing_grid
4.0,1.0,201,0.01,36965,2,12.677136798157338,,,,,existing_grid
4.0,1.0,201,0.01,36965,3,20.88860863441627,,,,,existing_grid
4.0,1.0,201,0.01,36965,4,24.73442837418007,,,,,existing_grid
4.0,1.0,201,0.01,36965,5,25.799784021653142,,,,,existing_grid
4.0,1.0,251,0.008,57805,0,5.040779685328803,,,,,existing_grid
4.0,1.0,251,0.008,57805,1,12.686362681296401,,,,,existing_grid
4.0,1.0,251,0.008,57805,2,12.686362681314517,,,,,existing_grid
4.0,1.0,251,0.008,57805,3,20.912941573533637,,,,,existing_grid
4.0,1.0,251,0.008,57805,4,24.74317845512022,,,,,existing_grid
4.0,1.0,251,0.008,57805,5,25.824008561814185,,,,,existing_grid
4.0,1.0,501,0.004,231533,0,5.047641002452271,,,,,new_grid
4.0,1.0,501,0.004,231533,1,12.706170952942065,,,,,new_grid
4.0,1.0,501,0.004,231533,2,12.706170952945524,,,,,new_grid
4.0,1.0,501,0.004,231533,3,20.96463017379748,,,,,new_grid
4.0,1.0,501,0.004,231533,4,24.761955607538017,,,,,new_grid
4.0,1.0,501,0.004,231533,5,25.875193527794078,,,,,new_grid
