n,candidate_rank,candidate_type,a,b,aspect_ratio,Ekin_target,Ekin_pred,dE1_pred,Q_pred,E0_Kwant,E1_Kwant,E2_Kwant,E3_Kwant,Ekin_Kwant,dE1_Kwant,Q_Kwant,Ekin_error,dE1_error,Q_error,passes_Ekin_constraint_pred,passes_Ekin_constraint_Kwant,geometry_hash,N_sites,N_A,N_B,imbalance_ratio,Q_gain_vs_isotropic_same_n,Q_gain_vs_best_training,Q_gain_vs_random_best_of_5,beats_isotropic_same_n,beats_best_training,beats_random_best_of_5,meaningful_gain_vs_isotropic,meaningful_gain_vs_best_training,meaningful_gain_vs_random_best_of_5,failure_mode
2.0,,random_feasible_baseline,30.483404201981504,24.83878874391155,0.8148298851181772,0.007727409624868287,0.007727409624868285,0.009758540840566302,1.2628476183223738,-3.992430966247898,-3.982740209486674,-3.9788798559211265,-3.968649787212883,0.007569033752102161,0.009690756761223884,1.2803162303949898,0.0001583758727661238,6.77840793424176e-05,0.017468612072615963,True,True,65da320ef4d66cceefe69cb68fc6e2c139678d0064360c34e1cc89344ef77c64,2381,1191,1190,0.00041999160016799666,-0.25643135997929734,-0.25643599875691825,-0.19526294184297122,False,False,False,False,False,False,ok
2.0,,random_feasible_baseline,27.717077681701838,26.423724377105593,0.9533373135707562,0.007727409624868287,0.0077274096248682875,0.011362865140868681,1.4704623790488343,-3.9923159178569816,-3.980977446288978,-3.9800382002911365,-3.9652995723496245,0.007684082143018411,0.011338471568003605,1.475579172237961,4.3327481849876094e-05,2.4393572865075847e-05,0.005116793189126723,True,True,6166ac90ae4a4fc867a7a1021765eff8a5627974cc25792cb2d580a320d909f7,2303,1153,1150,0.0013026487190620929,-0.06116841813632612,-0.06117305691394703,0.0,False,False,False,False,False,False,ok
2.0,,random_feasible_baseline,28.699554160058753,25.833371288668637,0.9001314495895901,0.007727409624868287,0.007727409624868279,0.010742984945914196,1.3902440102749596,-3.9923712586108056,-3.9816238756420197,-3.9796764137192233,-3.966318062455322,0.007628741389194449,0.010747382968785857,1.4088015860661804,9.866823567382995e-05,4.39802287166037e-06,0.01855757579122086,True,True,8c70231d00d38c269533b8c7b04509b04e879e622e1c8bdae99bf1c8cba95888,2327,1169,1158,0.004727116458960034,-0.12794600430810665,-0.12795064308572757,-0.06677758617178053,False,False,False,False,False,False,ok
2.0,,random_feasible_baseline,33.37966819786548,23.40176853857062,0.7010785248029244,0.007727409624868287,0.007727409624868285,0.008465595568320945,1.0955282532295216,-3.992398749659453,-3.9839084132619433,-3.977592083744238,-3.971763105706556,0.00760125034054715,0.008490336397509513,1.11696576446374,0.00012615928432113503,2.4740829188567293e-05,0.021437511234218443,True,True,4420b48233b4601d2ce4a66c40d427ccc16b247250c6a8a1c03f6f9bfec21199,2457,1231,1226,0.002035002035002035,-0.419781825910547,-0.41978646468816794,-0.3586134077742209,False,False,False,False,False,False,ok
3.0,1,inverse_candidate,26.834284998222778,26.834284998222778,1.0,0.007053480364534792,0.007053480364534791,0.010814600194939324,1.53322893607468,-3.9929284543780073,-3.9821406151105925,-3.9821406151104335,-3.9698370828761336,0.0070715456219927475,0.010787839267414778,1.525527776256471,1.8065257457956264e-05,2.676092752454569e-05,0.007701159818209069,True,True,fac5256eac28d31c8bd4e01915b3287449ff0a494e2103f0c5a5831db19ceb8c,2533,1273,1260,0.005132254243979471,-2.2502000263102673e-12,0.0004978146749328172,0.05291570479822694,False,True,True,False,False,True,candidate_not_better_than_isotropic
3.0,2,inverse_candidate,27.24312710474686,26.56204892712819,0.975,0.007053480364534792,0.007053480364534792,0.010524349574359134,1.4920789497445863,-3.993026239825124,-3.9826546870685946,-3.9820746003999643,-3.969924818663841,0.0069737601748758316,0.010371552756529567,1.4872253270043423,7.972018965896055e-05,0.0001527968178295664,0.004853622740244035,True,True,35e70356017a1a9aad16306acae1159e25060a7b6d1e2d0125985dc67d79dc23,2563,1285,1278,0.0027311744049941474,-0.03830244925437887,-0.03780463457719585,0.01461325554609827,False,False,True,False,False,False,candidate_not_better_than_isotropic
3.0,3,inverse_candidate,27.668947537488787,26.285500160614347,0.95,0.007053480364534792,0.007053480364534792,0.010234887876274794,1.4510408120984157,-3.9930454157504647,-3.982829835796957,-3.9819978640027527,-3.9700171260568684,0.006954584249535323,0.010215579953507525,1.4688987273667853,9.889611499946938e-05,1.9307922767268504e-05,0.01785791526836955,True,True,46da65f49eb0df51919f10c6ca8c5cea2ad3b65d957503b620e59d3ee6082ba5,2571,1289,1282,0.0027226760015558148,-0.056629048891935874,-0.056131234214752856,-0.003713344091458737,False,False,False,False,False,False,candidate_not_better_than_isotropic
3.0,4,inverse_candidate,28.11290117382813,26.004433585791023,0.925,0.007053480364534792,0.007053480364534793,0.009946238005497416,1.4101177704424521,-3.9930223085142686,-3.983192551087483,-3.9815222816794607,-3.96993573624815,0.006977691485731352,0.009829757426785601,1.4087406195711611,7.578887880344085e-05,0.00011648057871181498,0.0013771508712909775,True,True,e8e3732f271cbe4722785c03e8a8a5e9defbc4def9dc4c955be57638f019ff00,2573,1291,1282,0.003497862417411582,-0.11678715668756001,-0.116289342010377,-0.06387145188708288,False,False,False,False,False,False,candidate_not_better_than_isotropic
3.0,5,inverse_candidate,28.576254088983085,25.718628680084777,0.9,0.007053480364534792,0.007053480364534783,0.00965842376216422,1.3693131990169292,-3.993067607747803,-3.9835310914883135,-3.9814285601815276,-3.9702518355863425,0.006932392252196884,0.009536516259489591,1.375645796220988,0.0001210881123378995,0.00012190750267462858,0.006332597204058876,True,True,612bdacb7bc93d4a7ace449e6b457c8494d4a094923e01848d6ba3aa71aeaa68,2595,1301,1294,0.002697495183044316,-0.14988198003773312,-0.1493841653605501,-0.09696627523725598,False,False,False,False,False,False,candidate_not_better_than_isotropic
3.0,,isotropic_same_n_baseline,26.834284998222778,26.834284998222778,1.0,0.007053480364534792,0.007053480364534791,0.010814600194939324,1.53322893607468,-3.992928454378013,-3.982140615110591,-3.9821406151104624,-3.969837082876174,0.007071545621986974,0.010787839267421884,1.5255277762587212,1.8065257452183105e-05,2.676092751744026e-05,0.007701159815958869,True,True,fac5256eac28d31c8bd4e01915b3287449ff0a494e2103f0c5a5831db19ceb8c,2533,1273,1260,0.005132254243979471,0.0,0.0004978146771830172,0.05291570480047714,False,False,False,False,False,False,ok
