a0,count,frac_neg,frac_pos,frac_zero,iqr,max,mean,mean_all,mean_amb_hi,mean_amb_lo,median,median_id,median_swap,metric,min,n,n_ambiguous,n_total,path,q05,q25,q75,q95,std,value
33.7,256,0.515625,0.48046875,0.00390625,0.0044391961649864475,0.017690405278962817,-1.2929944375534436e-05,,,,-2.4274537935298213e-10,,,dimless_chi_center,-0.01368491593667942,2.0,0,256,xi,-0.006296480569039531,-0.0020700208466059022,0.0023691753183805453,0.004882350662921642,0.0038263062728460164,0.05
33.7,252,0.3611111111111111,0.6349206349206349,0.003968253968253968,4.322004063394039,5.388592962900239,-0.03711302636841991,-0.10580716006737984,0.005480082500203182,-0.10580716006737988,0.8571056540698715,0.808616874969891,0.9055944332148479,dimless_chi_split,-7.66723599471119,2.0,4,256,xi,-4.060433239206338,-2.5084600512287736,1.8135440121652655,3.301098339268947,2.57186403629691,0.1
33.7,252,0.6428571428571429,0.35714285714285715,0.0,2.1617597672912954,3.834823109353332,0.01819079860043127,,,,-0.4264727344594298,,,dimless_chi_minus,-2.69276943995549,2.0,4,256,xi,-1.6521993584105341,-0.9070958495737169,1.2546639177175785,2.0285250458880837,1.2859667628585094,0.1
33.7,252,0.3611111111111111,0.6388888888888888,0.0,2.160244296141539,2.6958235229748047,-0.01892222776798872,,,,0.43063291964739137,,,dimless_chi_plus,-3.832412885357893,2.0,4,256,xi,-2.031908193286847,-1.2537961335804657,0.9064481625610733,1.6488989808397567,1.2859021835529365,0.1
33.7,252,0.5992063492063492,0.4007936507936508,0.0,0.002588991638788729,0.013229624903961623,-0.00036571458401628705,,,,-0.0005493720049360995,,,dimless_chi_center,-0.00874712619243323,2.0,4,256,xi,-0.004140602246861802,-0.0014912160135110986,0.0010977756252776305,0.0031705619870911537,0.0025129906753793203,0.1
33.7,252,0.4642857142857143,0.5357142857142857,0.0,4.851275154380397,3.549799722033946,-0.3549840893089668,-0.3986664000229727,-0.3132639239689248,-0.3986664000229727,1.0020630859797999,0.9420971674119579,1.0020630860399482,dimless_chi_split,-4.7514831626446865,2.0,4,256,xi,-3.6856858614558337,-3.0077440961073796,1.8435310582730169,3.0500095240052527,2.594277152725361,0.2
33.7,252,0.5357142857142857,0.4642857142857143,0.0,2.4294328811756296,2.3777684442740763,0.17731272170342322,,,,-0.5016377027026835,,,dimless_chi_minus,-1.776477121308115,2.0,4,256,xi,-1.5248637108448806,-0.9236442973957082,1.5057885837799212,1.8436530810339014,1.2973236630900356,0.2
33.7,252,0.4642857142857143,0.5357142857142857,0.0,2.422605992428595,1.7733226008333705,-0.17767136760554486,,,,0.5004253832355465,,,dimless_chi_plus,-2.373714718370619,2.0,4,256,xi,-1.8420327804031102,-1.5027192316199474,0.9198867608086481,1.5251458130661788,1.2969552619077978,0.2
33.7,252,0.5992063492063492,0.4007936507936508,0.0,0.0021371822705057164,0.006614812443936691,-0.00017932295100217763,,,,-0.00034483345867103443,,,dimless_chi_center,-0.0036130957530720043,2.0,4,256,xi,-0.002740788522319776,-0.0013247519228565818,0.0008124303476491346,0.002056109834362068,0.0015273551098740653,0.2
33.7,240,0.5041666666666667,0.49583333333333335,0.0,4.998772789458173,3.6724897732659914,-0.36210706860436814,-0.27816552108630777,-0.19257200318216378,-0.5068713801737974,-1.8225948969233579,1.4010991814128677,-1.8609991100057965,dimless_chi_split,-4.0629861804600695,2.0,16,256,xi,-3.33518147980532,-2.8260313777148394,2.172741411743334,2.728058229863751,2.5493708398735584,0.4
